Draw,Date,Winning Number 1,2,3,4,5,6,Bonus Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize
1038,2022-10-22,7,16,24,27,37,44,2,27,2,4,3,3,1,1,2,1,1,15,1627457225,77,52839521,3364,1209466,154690,50000,2436512,5000
1037,2022-10-15,2,14,15,22,27,33,31,"2,22",4,2,3,3,1,2,2,1,0,15,1708576825,78,54762078,2713,1574435,137021,50000,2279500,5000
1036,2022-10-08,2,5,22,32,34,45,39,34,3,3,2,4,2,0,1,2,1,9,2837323167,64,66499762,2593,1641337,133443,50000,2231388,5000
1035,2022-10-01,9,14,34,35,41,42,2,,2,4,3,3,1,1,0,2,2,8,3231193735,71,60679695,2848,1512732,141624,50000,2366499,5000
1034,2022-09-24,26,31,32,33,38,40,11,,0,6,2,4,0,0,1,5,0,9,2868856209,66,65201278,2898,1484916,142939,50000,2400364,5000
1033,2022-09-17,3,11,15,20,35,44,10,,4,2,4,2,1,3,0,1,1,13,1913414943,79,52477625,3083,1344708,145505,50000,2376004,5000
1032,2022-09-10,1,6,12,19,36,42,28,"6,36",4,2,2,4,2,2,0,1,1,10,2675257538,90,49541807,3078,1448591,149807,50000,2458611,5000
1031,2022-09-03,6,7,22,32,35,36,19,,3,3,2,4,2,0,1,3,0,8,3213957563,64,66957450,2789,1536493,132815,50000,2247015,5000
1030,2022-08-27,2,5,11,17,24,29,9,,4,2,4,2,2,2,2,0,0,19,1276406507,104,38864942,3278,1233055,154929,50000,2473576,5000
1029,2022-08-20,12,30,32,37,39,41,24,12,1,5,3,3,0,1,1,3,1,10,2527848450,62,67952916,2614,1611738,125573,50000,2136972,5000
1028,2022-08-13,5,7,12,13,18,35,23,35,5,1,4,2,2,3,0,1,0,20,1181235132,91,43268687,2810,1401228,142778,50000,2333653,5000
1027,2022-08-06,14,16,27,35,39,45,5,,2,4,4,2,0,2,1,2,1,10,2460504338,83,49407718,2700,1518830,134097,50000,2217201,5000
1026,2022-07-30,5,12,13,31,32,41,34,,3,3,4,2,1,2,0,2,1,15,1619118475,76,53260477,2786,1452907,138907,50000,2290094,5000
1025,2022-07-23,8,9,20,25,29,33,7,"9,20",3,3,4,2,2,1,2,1,0,4,6118853344,69,59119356,2671,1527232,134665,50000,2258426,5000
1024,2022-07-16,9,18,20,22,38,44,10,18,4,2,1,5,1,2,1,1,1,8,3020323500,63,63922191,2616,1539411,134065,50000,2224097,5000
